CustomerID,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,PasswordHash,PasswordSalt,rowguid
42,FALSE,Mr.,Jeremy,,Los,,Healthy Activity Store,adventure-works\linda3,jeremy0@adventure-works.com,911-555-0165,jLMkpmNutZFzWw7sSWZeqd91vtlRwaWx2Ub21mhsvlU=,JK9/WX8=,64acd300-337d-4d39-a2c4-fd5972611934
43,FALSE,Ms.,Elsa,,Leavitt,,Frugal Bike Shop,adventure-works\shu0,elsa0@adventure-works.com,482-555-0174,BmJaM+147GrhU00kNTtaTolp0EJcarJK/SCfew4ZiYA=,YADhpPo=,9e449d3e-5d79-4f65-a4f1-10dd3b0e0766
46,FALSE,Mr.,David,O,Lawrence,,Gear-Shift Bikes Limited,adventure-works\josé1,david19@adventure-works.com,653-555-0159,HyZexVTTLfKfhx/Sb+XHQb4vta2LC1FD3OYIkpmzMlQ=,/kc6RdY=,21849ecf-88c2-4574-89d5-397b84df1d0f
47,FALSE,Ms.,Hattie,J.,Haemon,,Greater Bike Store,adventure-works\josé1,hattie0@adventure-works.com,141-555-0172,RLemw98UkhyklI9z6Kx01t3fpE6z6E9v5GdRReTdOIY=,8n38uVg=,0d9abe85-d952-432d-831a-8beb7f4e49d0
48,FALSE,Ms.,Anita,R.,Lucerne,,Grand Industries,adventure-works\garrett1,anita0@adventure-works.com,164-555-0118,YYTwMHBzX9ZM2XoYAzTo7bVfsHm05BO3Sl1+sokcRjM=,Zb6O1a0=,e656589a-198f-454f-b02f-9ce324457bdf
52,FALSE,Ms.,Rebecca,,Laszlo,,Instruments and Parts Company,adventure-works\jae0,rebecca2@adventure-works.com,1 (11) 500 555-0155,ox4SPBzzVPKyCVoIcZvkdVLtnQlKoDXCciBGcqVAfrI=,n7ydrrc=,8fb34b30-b19d-4aec-b02e-f1be942800e5
55,FALSE,Mr.,Eric,,Lang,,Kickstands and Accessories Company,adventure-works\pamela0,eric6@adventure-works.com,932-555-0163,katp5sn21ZqJq5Z26YRBk9XXP3iFjpsX7tNPYAAxZlI=,xw9RymE=,f5d3997b-ad06-46a0-94af-a4460f4be471
56,FALSE,Mr.,Brian,,Groth,,Latest Accessories Sales,adventure-works\david8,brian5@adventure-works.com,461-555-0118,tbk7TwAC5jsqEhFRRIhnL9kPBoTy3XS+EjlReKVp5mw=,hpOsvJU=,570b1682-9bb1-4359-984d-8f728e3d6973
57,FALSE,Ms.,Judy,R.,Lundahl,,Leading Sales & Repair,adventure-works\jillian0,judy1@adventure-works.com,260-555-0130,VzG/BDjkh2mMWAn2eZ/FQDI5/pGurtzdCfxTaCf6zAs=,N5Ajt+s=,7ff17923-e670-4f42-87a3-a6d1af18ea05
58,FALSE,Mr.,Peter,,Kurniawan,,Largest Bike Store,adventure-works\jillian0,peter4@adventure-works.com,436-555-0160,el1s9e+hWeb+79bwrhU+hxHEyJN+j6tR8vWyKJDZmTs=,QgzjTPU=,e324fee8-1ee7-4b96-854e-cfda7b0cbbc8
59,FALSE,Mr.,Douglas,,Groncki,,Locks Company,adventure-works\shu0,douglas2@adventure-works.com,385-555-0140,J9nhrWh6kpc/dGBkN7HRxrrbquy1Rit9UMPv9rbYjBs=,KiAAI5M=,60708606-604c-44be-90e1-3a0925b8060e
60,FALSE,Mr.,Sean,J.,Lunt,,Main Bicycle Services,adventure-works\linda3,sean4@adventure-works.com,183-555-0111,NCIEHFdWOrgXFDd6SE817buY5XNWSBCQZlOsgOGIP2E=,eK6Wzw0=,a029f31e-433b-4fa4-b442-b291d16a1b9f
61,FALSE,Mr.,Jeffrey,,Kurtz,,Many Bikes Store,adventure-works\shu0,jeffrey3@adventure-works.com,452-555-0179,zn3Nk0+i/zyvxFNh3OziN2Pxa3NfiIlVMJ9Ox86ytao=,5MZXwF4=,ccc53b43-66a6-47f6-a38e-5dd7cfafeaa6
64,FALSE,Mr.,Vamsi,,Kuppa,,Metal Clearing House,adventure-works\josé1,vamsi1@adventure-works.com,290-555-0196,6p4SZnWdWPrBclHkaWFeooblNWE+Y4VJiuTM9hyonDI=,HaDRSbY=,e6b6f92d-4ac6-4bc7-bf6b-2f3c67498de7
65,FALSE,Ms.,Jane,P.,Greer,,Metro Manufacturing,adventure-works\josé1,jane2@adventure-works.com,737-555-0163,gCWE10xc3haq9E82Ksvg2GS6WBBD0H0ZF25YAS0CfJ8=,qxbTTkE=,7e082443-8af6-4bb6-a0f5-1586271d1f2c
66,FALSE,Mr.,Alexander,J.,Deborde,,Neighborhood Store,adventure-works\garrett1,alexander1@adventure-works.com,394-555-0176,QC+He1HXF5uNbU5XqduVyZW0SlvdnAE2jhuD/06ukjE=,Uifpoxw=,e91e0048-9a25-489b-96c1-d726da68fb7c
70,FALSE,Mr.,Deepak,,Kumar,,Outdoor Aerobic Systems Company,adventure-works\jae0,deepak0@adventure-works.com,1 (11) 500 555-0122,0d3F0pfNxXFKEufM738j3/fA0at2eUlZA8ibqRnMr7M=,6fOTb8g=,89e10b04-064e-4313-8203-91fa98a01b11
73,FALSE,Ms.,Margaret,T.,Krupka,,Outdoor Sports Supply,adventure-works\pamela0,margaret1@adventure-works.com,107-555-0132,dI+A6Ikk6Eh9ypKYxrAEHGdSxjzUhy8bEyDdFjggW9g=,09k9Tis=,9d5c135e-bd60-46e0-b371-843391637827
74,FALSE,Mr.,Christopher,M.,Bright,,Parcel Express Delivery Service,adventure-works\david8,christopher2@adventure-works.com,162-555-0166,jIw8zSChmDX3xmVInKUV46U77LBgW9C5vlIMvK4NqF8=,J9DNyhU=,73485e57-076d-4b10-bb48-6043dd873582
75,FALSE,Ms.,Aidan,,Delaney,,Paint Supply,adventure-works\jillian0,aidan0@adventure-works.com,358-555-0188,6lcVqEc4gGgfW6DsOks/KuDIWIP5qFsrc8sXtmcwj6E=,DKu7/UM=,55cfed0e-1a7b-409c-9aff-297065965870
76,FALSE,Mr.,James,J.,Krow,,Out-of-the-Way Hotels,adventure-works\jillian0,james11@adventure-works.com,265-555-0190,I2HiduC1LR4LnxkLk1SFZ0OCyPveKfbQ6Q4mjKnPiyA=,PJEpZaA=,5227d299-b05e-4d6c-a1c9-da63154869ba
77,FALSE,Mr.,Michael,,Brundage,,Mechanical Products Ltd.,adventure-works\shu0,michael13@adventure-works.com,128-555-0148,Ioh5Ss2cXrUAI8DZcSkQ/z92aEmHE0Wxqc6MdggjJQE=,MjQeaAE=,b3f9113c-8fce-47e1-9f04-38a0c68917c6
78,FALSE,Mr.,Stefan,,Delmarco,,Preferred Bikes,adventure-works\linda3,stefan0@adventure-works.com,819-555-0186,9rOycZRxDntXWB8Y/285x4HS6G2ATNOzhqIhF+oBGqc=,BsI2IB4=,8c8083ab-7943-44fa-b1ad-8e3abd5d66ee
79,FALSE,Mr.,Mitch,,Kennedy,,Reasonable Bicycle Sales,adventure-works\shu0,mitch0@adventure-works.com,996-555-0192,Re4KikAJLZeLX+pM2Bw7HZNkd5Yyd/vrGB7WhjbYmCo=,lGI5cA0=,010d8aa6-ceba-4097-9e67-3b2a9674fd5f
82,FALSE,Mr.,James,D.,Kramer,,Refined Department Stores,adventure-works\josé1,james10@adventure-works.com,814-555-0130,8x6bpv0tFDausfY5Z8RQwPKRz3E+N1BszPMzVAsq5kg=,5NcSbeg=,92618ece-2254-4852-b3b3-46ed2e0e3e1a
83,FALSE,Mr.,Eric,J.,Brumfield,,Requisite Part Supply,adventure-works\josé1,eric3@adventure-works.com,644-555-0114,pd7lPYE+Gn7QnX4l6aMxG6WiRZGpPVsBcJ1kBpXl7pc=,MAOhXKA=,8e01f170-64d3-4b74-82e1-d1691ae9f37c
84,FALSE,Ms.,Della,F.,Demott Jr,,Rewarding Activities Company,adventure-works\garrett1,della0@adventure-works.com,752-555-0185,oR9ACW0ZX4v6zBa57CfhePKM1qmHjgDwNdGaTDAp4io=,966Lz4w=,45a614ce-3137-4a12-8296-24048c18f320
88,FALSE,Ms.,Pamala,M.,Kotc,,Closest Bicycle Store,adventure-works\jae0,pamala0@adventure-works.com,1 (11) 500 555-0173,3nXek8BFNaBhIi8CwSzQOVdo1ZthphI3kGbZTrt6jNM=,/rh9tFs=,11feda31-15b6-4f08-9357-355371d4d928
91,FALSE,Ms.,Joy,R.,Koski,,Scooters and Bikes Store,adventure-works\pamela0,joy0@adventure-works.com,810-555-0198,tTeR7tEh6XEQtr0WQ2eXrHrqjsOt2mdihjWZ3c4q50s=,IrqLpXQ=,9f314fc3-9644-4412-a90a-5483f75f665b
92,FALSE,Ms.,Jovita,A.,Carmody,,Sports Commodities,adventure-works\david8,jovita0@adventure-works.com,646-555-0137,d3uGruCihzt7+Dipsh3+fE3iZd/uKCf8sy56xa5chxU=,zmqmiAQ=,672412c3-5d5d-488b-b176-e3dafad05d70
93,FALSE,Mr.,Prashanth,,Desai,,Stationary Bikes and Stands,adventure-works\jillian0,prashanth0@adventure-works.com,138-555-0156,AT0SeSL9gTlDL0/MHFMEy5GrEjR12DBF5ag/cyHZpJY=,l32Vf08=,249b42c2-8eae-49f1-a560-a90837748654
94,FALSE,Mr.,Scott,,Konersmann,,Specialty Sports Store,adventure-works\jillian0,scott6@adventure-works.com,556-555-0192,2WMJfIzZjrB1xeQtjtSTUQfxxeowOV9LmAjmUkH/qP4=,A+rOrG0=,65be08da-dfb7-4bc8-aa5c-fad98b82524e
95,FALSE,Ms.,Jane,N.,Carmichael,,Rural Department Store,adventure-works\shu0,jane0@adventure-works.com,716-555-0167,ZIXjFmD2T/Gf9bPHIkx7X82eU+I86/8p3rmYxWqwtkQ=,BUBjqIQ=,ea0bc621-9466-4f04-bbff-3b361c6f9057
96,FALSE,Ms.,Bonnie,B.,Lepro,,More Bikes!,adventure-works\linda3,bonnie2@adventure-works.com,354-555-0130,QFcESEnv3fd3s0KxftaNIRbKv6ba7PNXWLVrlx/mrF4=,WVm7PpY=,bac5b4da-00b0-4bf1-816a-1e39f676bf9b
97,FALSE,Mr.,Eugene,,Kogan,,Mountain Bike Center,adventure-works\shu0,eugene2@adventure-works.com,136-555-0134,Tp1Zre+rOA0pmlkyosHvuAxhbMWt7UcvCPrAYmXyI+w=,GdsdWsk=,355eb5d8-6b4c-4fff-b12b-40f89ca4e31d
100,FALSE,Mr.,Kirk,T,King,,Up-To-Date Sports,adventure-works\josé1,kirk2@adventure-works.com,979-555-0163,056V7iOc8FPUiLanlyEqQX6cAWuL0TJ8fQBhX7mEjMU=,b96sfSU=,e789f6dd-3159-4ddc-81a8-8571c571656e
101,FALSE,Mr.,William,J.,Conner,,Urban Sports Emporium,adventure-works\josé1,william1@adventure-works.com,383-555-0111,GZyRS1qyQMxNWXYf0B1uj2nyQjhk4oN+Qv3geEMUy5A=,94SS2WQ=,67ad4f37-2467-4438-a749-d947beec3a92
102,FALSE,Ms.,Linda,,Leste,,National Manufacturing,adventure-works\garrett1,linda7@adventure-works.com,493-555-0134,heRwLFQMae6Y0X7+Q7tLrq4gB5sXd8jC7uiIjXlEs6Y=,OHu+9rc=,959cf74b-1004-43f5-9ab7-4cdd482c847d
106,FALSE,Ms.,Andrea,A.,Thomsen,,West Side Mart,adventure-works\jae0,andrea1@adventure-works.com,1 (11) 500 555-0120,LDoJwsGCFLtxVdbdQBbN/to7zFF1skP+hWLrIrCxvAw=,NuexV8w=,aafbf7d5-8759-4962-9deb-77c6e22875f4
109,FALSE,Mr.,Daniel,P.,Thompson,,Travel Sports,adventure-works\pamela0,daniel2@adventure-works.com,247-555-0197,DgTXKBbRFAv0jGUCn8yCPgnYQP1JhhVioFj9E1gXCS8=,jcMXc0w=,7585790b-6034-4520-a383-9fa1e8b3e76e
110,FALSE,Ms.,Kendra,N.,Thompson,,Vintage Sport Boutique,adventure-works\david8,kendra0@adventure-works.com,464-555-0188,dBvr8YSJ5D5BzBQ6uCOKmYVG2wDeIf97H4Jh3ePPYHM=,IS71rL8=,82c2f3f0-63b8-46cc-aedc-3a856956ef04
111,FALSE,Mr.,Scott,A.,Colvin,,Westside Cycle Store,adventure-works\jillian0,scott1@adventure-works.com,119-555-0144,4QoOmH+4/mabhuXqIQnoVm+1MjvTYyAHid9vpNehSxs=,sA8S2v4=,0122151a-9140-4663-a3eb-a442d88bc1bb
112,FALSE,Ms.,Elsie,L.,Lewin,,Town Industries,adventure-works\jillian0,elsie0@adventure-works.com,803-555-0116,sbrtAXJY79C5nTfNaktfR5zn9+uSLMSL26NETFSeEas=,UUwXzgY=,5035e4d6-3758-4fa6-a462-2e2ecf52e6f0
113,FALSE,Mr.,Donald,M.,Thompson,,Trendy Department Stores,adventure-works\shu0,donald1@adventure-works.com,273-555-0111,HfjBjq3HyrYM/vkKe/z2JUvmTeROuQWy7ntzIG/uTNk=,ke7sTgo=,8a84966c-5d38-41ca-990f-ad107558a6b8
114,FALSE,Mr.,John,L.,Colon,,Two Wheels Cycle Store,adventure-works\linda3,john14@adventure-works.com,397-555-0144,9HEZAYB77VjHRd83ZDP94/ugDP0PhvUiIRCi3Cl5y7A=,j6Z6ny8=,bcc5ae61-8214-44a1-a43c-fbd65c3745ae
115,FALSE,Mr.,George,Z.,Li,,Security Racks and Locks Wholesalers,adventure-works\shu0,george3@adventure-works.com,699-555-0183,y3YyySPHg7l+/+LZkIFmyZ7gE+BOIOdPEq+t+oE093g=,4m5UYgM=,080f7047-8396-4cec-ab43-56cf41de4e00
118,FALSE,Mr.,Yale,,Li,,Rapid Bikes,adventure-works\josé1,yale0@adventure-works.com,316-555-0138,B2RR480ridZSqURXY3APlxFk13GITW6LDFutGbpSUIs=,5MEUKYU=,5feafbd2-4a43-4641-8e94-b3059b2a882e
119,FALSE,Ms.,Phyllis,A.,Thomas,,Red Bicycle Company,adventure-works\josé1,phyllis2@adventure-works.com,667-555-0112,hAXpzsxtYdB4R3XMc08m98BwHHvL0+J6J+y0u7B1ngg=,ycYA+jA=,d13245ef-8267-4cb4-87c9-c23155d33e93
120,FALSE,Mr.,Pat,,Coleman,,Machines & Cycles Store,adventure-works\garrett1,pat2@adventure-works.com,292-555-0128,61UcbVZnGT5eqxs0oFMv4JyipeaQCUZgUZkPgtVNBDo=,7+I+4k4=,25863c18-4c9a-4bc9-be0d-95f4cf67bf7d
124,FALSE,Ms.,Yuhong,,Li,,Nearby Sporting Goods,adventure-works\jae0,yuhong1@adventure-works.com,1 (11) 500 555-0176,XrcuygOte7eGdTleJOKDmf/XBySqc/0xVbjpIPzMWQA=,R273GbA=,2f614c31-abae-42d0-820b-193f0ddc811e
127,FALSE,Mr.,Joseph,M.,Lique,,Front Sporting Goods,adventure-works\pamela0,joseph2@adventure-works.com,119-555-0195,7dnLSdRuWFKBMjmORanIkwGVy3smf5yZI3YxSSyd5/U=,jH5dJh4=,ef55103f-acc7-4bfd-89b1-20a04845e706
128,FALSE,Ms.,Judy,J.,Thames,,Demand Distributors,adventure-works\david8,judy3@adventure-works.com,799-555-0118,BXs/jMkqmCMJn6V9vWS+iM7P+R0MGu2nmP4SLrJrYCg=,OSnERUk=,03f73e74-8de5-421e-b5af-04b259268dd6
129,FALSE,Ms.,Connie,L.,Coffman,,Discount Bicycle Specialists,adventure-works\jillian0,connie0@adventure-works.com,426-555-0181,Wkqdm53a0uim7B/e9+IT0I81uzxMNnh1FBaeXd3nyP0=,3tT/ffQ=,e03db34c-bf17-407d-9423-fa22dbfdd292
130,FALSE,Mr.,Paulo,H.,Lisboa,,Elite Bikes,adventure-works\jillian0,paulo0@adventure-works.com,380-555-0116,MO2kc8uiSARHp+gxFShJchORmBfhfAz+NC31TDVciS8=,QXbFwBQ=,606ecdc2-6443-4e4b-897f-32d4c17ab894
131,FALSE,Ms.,Vanessa,J.,Tench,,Eighth Bike Store,adventure-works\shu0,vanessa0@adventure-works.com,785-555-0163,qnzSZKGLMJiDzrH9h5VfDojb/pTtQKfZNc7nW7qzQ90=,dPOi278=,ed0df7cc-6234-4d60-8b81-315c019f5356
132,FALSE,Ms.,Teanna,M.,Cobb,,Another Sporting Goods Company,adventure-works\linda3,teanna0@adventure-works.com,661-555-0168,oDFb9hjhU08th9xeH9bRAY/U7JJTdaLY9NiegJj3vzk=,60Z0AcQ=,7649e8af-3dab-43aa-b7df-9776f84dfb71
133,FALSE,Mr.,Michael,,Graff,,Commercial Sporting Goods,adventure-works\shu0,michael16@adventure-works.com,132-555-0150,NRM1BXnt0/4EDaPuM5qday+BOZANEisKCyGGQqJxXpY=,ewV5lII=,4f61574b-8353-42ec-825c-87896e6e16a4
136,FALSE,Mr.,Derek,,Graham,,Wholesale Parts,adventure-works\josé1,derek0@adventure-works.com,674-555-0187,FJJVccEFyVV8NubSxOFblRtnKqQD221f9AT9xxYTOUA=,8ju6sOA=,84cd4767-f142-4d9d-9033-ad3ade34bf74
137,FALSE,,Gytis,M,Barzdukas,,Transportation Options,adventure-works\josé1,gytis0@adventure-works.com,257-555-0119,muiJ85PHJTw5ocOM+yS+gq+w8REzzCOfzXZNFyDZniI=,lUNnQso=,d6a1aee7-25ef-4417-ab10-65bc21661864
138,FALSE,Ms.,Jane,,Clayton,,South Bike Company,adventure-works\garrett1,jane1@adventure-works.com,206-555-0195,o02Imw+gyZX9J1yiTBKYD4M5XlerPqz3usX+v3CsDHA=,PZCGT2g=,91b9ef4b-2fa8-4936-ac71-1fa1b3624d12
142,FALSE,Mr.,Jon,,Grande,,Riding Cycles,adventure-works\jae0,jon1@adventure-works.com,1 (11) 500 555-0114,26rwIeR9oyfo+P6lodeASP/MAC2/tdKFbmFVC5uBRmA=,83inWt0=,b821d13f-e9db-4a3b-87d0-7e867a161575
145,FALSE,Mr.,Ted,,Bremer,,Raw Materials Inc,adventure-works\pamela0,ted0@adventure-works.com,962-555-0166,mBQHYK00pq9+tDgH7TR6fPrrYQ2drX7/VuuHgkUSOiQ=,MxiyX14=,fec5609d-042b-4480-b1ba-55f2d4107327
146,FALSE,Mr.,Richard,,Bready,,Latest Sports Equipment,adventure-works\david8,richard1@adventure-works.com,340-555-0131,kOabrc0OqOISR4N3D3FZkOh3yAKQCF/ozSx7G00Kpt0=,jpRF8lY=,5475e9dd-98ca-4989-b7a2-3fc929beea12
147,FALSE,Ms.,Alice,,Clark,,Local Hardware Factory,adventure-works\jillian0,alice1@adventure-works.com,221-555-0141,ZZhnNULC5d/7tZv0hUtCl4jKwgyZql8aSrIzlTaTvg0=,hGHOthw=,03836a0b-7ad8-4115-8d23-6efa0d8deea1
148,FALSE,Mr.,Alan,,Brewer,,Lots of Bikes Storehouse,adventure-works\jillian0,alan1@adventure-works.com,494-555-0134,t9ecYoVIOcEiyXvl+noHoCymcRlJij1fzZzXfKeZ/R0=,6ZoXk8E=,79355855-a002-4393-bb6e-36f90913fa4d
149,FALSE,Mr.,Cornelius,L.,Brandon,,Initial Bike Company,adventure-works\shu0,cornelius0@adventure-works.com,229-555-0114,fftjn+fbjvHFJ4bf7rTpLdlCHv61xF+y0ZPKKevQV98=,OzSaq2k=,baa99d94-2fc2-4a1c-8b67-2c3210eb90c3
150,FALSE,Ms.,Jill,J.,Christie,,Fleet Bikes,adventure-works\linda3,jill1@adventure-works.com,927-555-0198,Vlb2fj7yW2d5JtfPLZvbicsQNEgLhh0b93Uw2pLEBuE=,2cMmc9Y=,285c5dd7-75d6-460d-97ba-aa86d86637c0
151,FALSE,Mr.,Walter,J.,Brian,IV,Futuristic Bikes,adventure-works\shu0,walter0@adventure-works.com,163-555-0155,NN11OHHxrOm6r8lPyhXuBk13QMD+8tph5PIdJ4t0JmY=,PiILPfc=,7f2891f7-dd88-470b-95ae-cc9a7d732b1f
